LH_AnimalID,LH_AnimalCode,Sex,FirstDate,MiguelCorrected,MiguelComments
Gobela,Gobe,F,12/11/2021,,
Spek,Spe,M,13/11/2021,,
Renoster,Reno,F,15/11/2021,,
Yamp,Yam,M,16/11/2021,,
Rimpel,Rimp,F,18/11/2021,,
Sitrus,Sitr,F,18/11/2021,,
Miskien,Misk,F,19/11/2021,,
Daila,Dail,F,20/11/2021,,
Disco,Dis,M,21/11/2021,,
Danielle,Dani,F,22/11/2021,,
Sampion,Samp,F,22/11/2021,,
Bahamas,Baha,F,27/11/2021,,
Tiki,Tik,M,30/11/2021,,
Lola,Lola,F,03/12/2021,,
Delux,Del,M,11/12/2021,,
Derrick,Der,M,11/12/2021,,
Lucifer,Luc,M,11/12/2021,,
Yub,Yub,M,21/12/2021,,
Nelson,Nel,M,17/03/2022,,
Furry Glen,Fur,M,19/03/2022,,
Capri,Cap,M,28/03/2022,,
Ibissa,Ibi,M,09/06/2022,,
Vryheid,Vry,M,10/06/2022,,
Formintira,For,M,11/06/2022,,
Ermelo,Erm,M,16/06/2022,,
New Male 3,,M,16/06/2022,,
Athena,Athe,F,28/06/2022,,
Circe,Circ,F,28/06/2022,,
Freyja,Frey,F,28/06/2022,,
Hera,Hera,F,28/06/2022,,
Medusa,Medu,F,28/06/2022,,
Pandora,Pand,F,28/06/2022,,
Zeus,Zeu,M,28/06/2022,,
Ryan,Rya,M,06/07/2022,,
Dakar,Dak,M,10/09/2022,,
Bug Eyes,NA,NA,NA,,
Collin,Col,M,NA,,
Fergie,Ferg,F,NA,,
Gollum,NA,NA,NA,,
Gosh,NA,NA,NA,,
Heart,NA,NA,NA,,
Imposter,Imp,M,NA,,
Jamaica,Jama,F,NA,,
Kurt Cubain,Kur,M,NA,,
Little Notch,NA,NA,NA,,
Madonna,Mado,F,NA,,
Nostrils,NA,NA,NA,,
Pitcairn,Pit,M,NA,,
Red Hot,Red,M,NA,,
SF2,NA,F,NA,,
Small Eyes,NA,M,NA,,
Tasmania,Tas,NA,NA,,
Whidbey,Whid,F,NA,,
Wierdo,Wier,F,NA,,
