bad_name,main_group,good_name,full_name,sex,notes
 Heilweis,Baie Dankie,Hei,Heilweis,M,
 Hei,Baie Dankie,Hei,Heilweis,M,
heilweis ,Baie Dankie,Hei,Heilweis,M,
heilweis,Baie Dankie,Hei,Heilweis,M,
Heilweis ,Baie Dankie,Hei,Heilweis,M,
Hip,Baie Dankie,Hipp,Hippie,F,
Hippie,Baie Dankie,Hipp,Hippie,F,
 Hipp,Baie Dankie,Hipp,Hippie,F,
Hipp ,Baie Dankie,Hipp,Hippie,F,
 hwa,Baie Dankie,Hwa,Hwahwaza,M,
hwa,Baie Dankie,Hwa,Hwahwaza,M,
Is,Noha,,,,Istanbul/Isla Bonita?
Jae,Baie Dankie,,,,all jagerboon jaegerbomb?
Jaegerbomb,Baie Dankie,,,,all jagerboon jaegerbomb?
 Jag,Baie Dankie,Jag,Jagerbomb,,
Jag ,Baie Dankie,Jag,Jagerbomb,,
Jagerbomb,Baie Dankie,Jag,Jagerbomb,,
Jagg,Baie Dankie,Jag,Jagerbomb,,all jagerboon jaegerbomb?
Jagerboom,Baie Dankie,,,,all jagerboon jaegerbomb?
Jak,Noha,Jaka,Jakarta,F,
 Jaka,Noha,Jaka,Jakarta,F,
Jaka.,Noha,Jaka,Jakarta,F,
Jaka ,Noha,Jaka,Jakarta,F,
JC (Chouchou),Baie Dankie,,,,Chou or Engel?
JC (Chouchou).,Baie Dankie,,,,Chou or Engel?
JE (Bab),Baie Dankie,,,,JE (M30)' or Bab?
JE (M30),Baie Dankie,JE (M30),,,JE (M30)' or Bab?
Jedd,Noha,Jed,Jeddah,M,
Jeddah,Noha,Jed,Jeddah,M,
Jed ,Noha,Jed,Jeddah,M,
JG (LittleBoks),Baie Dankie,,,,Gese or Lboks?
Jih,Noha,,,,
Jil,Noha,Jill,Jillin,F,
Jill ,Noha,Jill,Jillin,F,
jill,Noha,Jill,Jillin,,
Jinka,Noha,Jink,Jinka,F,
 Jink,Noha,Jink,Jinka,F,
Jin,Noha,Jink,Jinka,F,
