"AnimalID","LH_AnimalCode","Age_yr","Age_class"
"Kaiki","Kaik",NA,NA
"Kangaroo",NA,8.34,"adult"
"Karenzoid","Kare",NA,NA
"Kate","Kate",7.22,"adult"
"Kauai","Kau",NA,NA
"Kaya","Kaya",NA,NA
"Kekeke","Kek",NA,NA
"Kenneth","Ken",NA,NA
"Kergelen","Ker",NA,NA
"Kies","Kie",12.28,"adult"
"Kilimanjaro","Kil",NA,NA
"Kodiak","Kodi",NA,NA
"Kommunis","Kom",NA,NA
"Koninging","Koni",NA,NA
"Kookoolegit","Koo",NA,NA
"Krakatoa","Krak",NA,NA
"Kurtcubain","Kur",NA,NA
"Kyle","Kyl",8.26,"adult"
"Laila","Lail",NA,NA
"Lampshade","Lamp",3.3,"juvenile"
"Lancey","Lanc",8.33,"adult"
"Larry","Lar",4.19,"sub-adult"
"Laurel","Laur",NA,NA
"Lausanne","Laus",NA,NA
"Lavander","Lava",5.38,"adult"
"Lawrence","Law",7.28,"adult"
"Lefty","Lef",9.25,"adult"
"Lekker","Lek",NA,NA
"Lennon","Len",10.45,"adult"
"Lewe","Lewe",4.33,"adult"
"Lhassa","Lhas",NA,NA
"Liam","Lia",9.33,"adult"
"Liffey","Lif",NA,NA
"Light","Lig",2.32,"juvenile"
"Lilly","Lill",7.37,"adult"
"Lima","Lima",8.32,"adult"
"Lionel","Lion",NA,NA
"Lipsy","Lip",NA,NA
"Littleballs",NA,NA,NA
"Littleblind",NA,NA,NA
"Littlenapoli",NA,NA,NA
"Littlenotch",NA,NA,NA
"Littleskollie",NA,NA,NA
"Littlez",NA,NA,NA
"Lizz","Lizz",NA,NA
"Lohihi","Lohi",NA,NA
"Loki","Loki",2.21,"juvenile"
"Lola","Lola",1.22,"juvenile"
"Lome","Lom",11.35,"adult"
"Louise","Loui",6.3,"adult"
"Luan","Lua",6.19,"adult"
"Lucifer","Luc",1.2,"juvenile"
"Lugano","Lug",2.17,"juvenile"
"Macedonia","Mac",NA,NA
"Mackanzie","Mack",NA,NA
"Madagascar","Mad",NA,NA
"Madonna","Mado",NA,NA
"Malawi","Mal",8.21,"adult"
"Mamoobi","Mamo",NA,NA
"Manhattan","Manh",NA,NA
"Mara","Mara",NA,NA
"Margarita","Mar",NA,NA
"Martinique","Mart",NA,NA
"Mass","Mas",4.29,"sub-adult"
"Mathimula","Mat",8.36,"adult"
"Mbazwane","Mba",9.29,"adult"
"Mbila","Mbil",4.3,"adult"
"Medjerda","Med",NA,NA
"Medusa","Medu",NA,NA
"Meerkat","Mee",8.34,"adult"
"Mercury","Mer",10.25,"adult"
"Merlin","Mer",NA,NA
"Mevrou","Mevr",10.34,"adult"
"Mfolozi","Mfo",NA,NA
"Mhaori","Mhao",6.28,"adult"
"Michaeljackson","Mic",NA,NA
"Middag","Midd",7.3,"adult"
"Mielies","Miel",NA,NA
"Milano","Mil",NA,NA
"Mimiek","Mimi",4.33,"adult"
"Minimj",NA,NA,NA
"Miskien","Misk",1.26,"juvenile"
"Mississipi","Mis",9.26,"adult"
"Mnandi","Mna",NA,NA
"Modjadji","Modj",11.34,"adult"
"Moesa","Moes",2.25,"juvenile"
"Mokcha","Mokc",5.37,"adult"
"Momo","Mom",NA,NA
"Montreal","Mon",NA,NA
"Mooi","Mooi",NA,NA
"Moonie","Moon",NA,NA
"Mousse","Mou",NA,NA
"Moya","Moya",5.33,"adult"
"Mpukuvane","Mpu",NA,NA
"Muis","Mui",2.24,"juvenile"
"Mungunya","Mun",10.38,"adult"
"Mvula","Mvu",12.33,"adult"
"Naaldekoker","Naal",4.33,"adult"
"Naartjie","Naa",2.17,"juvenile"
"Nahoon","Nah",6.28,"adult"
"Nakhu","Nak",5.32,"adult"
"Nala","Nala",NA,NA
"Namnam","Namn",NA,NA
"Nantucket","Nan",NA,NA
"Napoli","Nap",NA,NA
"Ncoko","Ncok",4.31,"adult"
"Ndanda","Nda",4.31,"sub-adult"
"Ndawonya","Ndaw",7.05,"adult"
"Ndiki","Ndik",5.36,"adult"
"Ndiza","Ndi",8.33,"adult"
"Ndlovu","Ndl",1.3,"juvenile"
"Ndondo","Ndo",2.13,"juvenile"
"Ndonsa","Ndon",NA,NA
"Ndumiso","Ndum",2.27,"juvenile"
"Nelson","Nel",NA,NA
"Nessie","Ness",NA,NA
"Neuchatel","Neu",NA,NA
"Newmale",NA,NA,NA
"Newmale1",NA,NA,NA
"Newmale2",NA,NA,NA
"Newmale3",NA,NA,NA
