"LH_RowNumber","AnimalCode","AnimalName","OtherID"
435,"Rey","Reykjavik",NA
436,"Rosl","Roslin",NA
437,"BGag15","Baby Gaga 2015",NA
438,"BTon15","Baby Tonga 2015",NA
439,NA,"Jalitah",NA
440,"BUmn15","Baby Umnak 2015",NA
441,"Kau","Kauai",NA
442,"Yel","Yell",NA
443,"Rat","Ratel",NA
444,"BPear15","Baby Pearl 2015",NA
445,"Kate","Kate",NA
446,"Dio","Dion",NA
447,"BOah15","Baby Oahu 2015",NA
448,"Puol","Puolka",NA
449,"Alc","Alcatraz",NA
450,"Jane","Jane",NA
451,"Ndaw","Ndawonya",NA
452,"Manh","Manhattan",NA
453,"Schn","Schnauzli",NA
454,"Ber","Bermuda",NA
455,"Java","Java",NA
456,"Umb","Umbrella",NA
457,"Rob","Robin",NA
458,"Rein","Reindeer",NA
459,"Rene","Renee",NA
460,"BAmu16","Baby Amur 2016",NA
461,"Loui","Louise",NA
462,"Yuko","Yukon",NA
463,"Gabi","Gabillou",NA
464,"Nah","Nahoon",NA
465,"Xia","Xiashan",NA
466,"Aara","Aaragon",NA
467,"Guny","Gunya",NA
468,"Mhao","Mhaori",NA
469,"Nge","Ngenakubo",NA
470,"Guat","Guatemala",NA
471,"Raba","Rabat",NA
472,"Yamu","Yamuna",NA
473,"Hond","Hondjie",NA
474,"BSie16","Baby Siele 2016",NA
475,"Hibi","Hibiscus",NA
476,"Dil","Dillon",NA
477,"Lua","Luan",NA
478,"Whid","Whidbey",NA
479,"Dewe","Dewey",NA
480,"Tyl","Tyler","Garry"
481,NA,"New male (look like Rio)",NA
482,"Dok","Dokos","Denmark"
483,"Fen","Feniks",NA
484,"Kom","Kommunis",NA
485,"BNum17","Baby Numbies 2017",NA
486,"Sari","Sari",NA
487,"BLBl17","Baby Little Blind 2017",NA
488,"BDig17","Baby Digby 2017",NA
489,"Cam","Cameron",NA
490,"Aar","Aarhus",NA
491,"Amg","Amgoun",NA
492,"BGes17","Baby Gese 2017",NA
493,"Godu","Goduka",NA
494,"Rocky","Rocky",NA
495,"Ura","Uranium City",NA
496,"BOah17","Baby Oahu 2017",NA
497,"Goos","Goose","CrazyEyes"
498,"Lava","Lavander",NA
499,"BPan17","Baby Pann 2017",NA
500,"BLio17","Baby Lionel 2017",NA
501,"Mokc","Mokcha",NA
502,"BRox17","Baby Roxanne 2017",NA
503,"Isc","Ischia",NA
504,"Ndik","Ndiki",NA
505,"Nuu","Nuuskierig",NA
506,"Timb","Timber",NA
507,"Aan","Aantreklik","Aant"
508,"Jell","Jelly",NA
509,"Pom","Pomelo",NA
510,"Xin","Xinji",NA
511,"Rust","Rustig",NA
512,"Sirk","Sirkus",NA
513,"Pye","Pyeongchang",NA
514,"Obse","Obsessie",NA
515,"Mar","Margarita",NA
516,"Jers","Jersey",NA
517,"Moya","Moya",NA
518,"Hee","Heelal",NA
519,"BGug17","Baby Gugu 2017",NA
520,"Nak","Nakhu",NA
521,"Daa","Daartagnan",NA
522,"Nan","Nantucket",NA
523,"BRub17","Baby Ruby 2017",NA
524,"Rioj","Rioja",NA
525,"BKay17","Baby Kaya 2017",NA
526,"Niha","Nihau",NA
527,"Yara","Yara",NA
528,"Gan","Gangtok",NA
529,"Rev","Revdanda",NA
530,"Xal","Xaltepec",NA
531,"Yze","Yzeron",NA
532,"Dext","Dexter",NA
533,NA,"Corfu",NA
534,"BMie17","Baby Mielies 2017",NA
535,"Dore","Doreen",NA
536,"BMac17","Baby Mackenzie 2017","Baby Schnauzli 2017"
537,"Pun","Puntag",NA
538,"Bali","Bali",NA
539,"East","Easter","Smashy;Mous"
540,"Fiji","Fiji",NA
541,"Kodi","Kodiak","Schnauzli"
542,"Koo","Kookoolegit",NA
543,"Blu","Blup blup",NA
544,"Cus","Cusco",NA
545,"Osc","Oscar","Dumbledore"
546,"Ben","Benedict",NA
547,"Lail","Laila",NA
548,"Aat","Aathabasca","Ath"
549,"Goe","Goed",NA
550,"Hia","Hiasint",NA
551,"Lewe","Lewe",NA
552,"Mimi","Mimiek",NA
553,"Naal","Naaldekoker",NA
554,"Xinp","Xinpu",NA
555,"Guz","Guzunga",NA
556,"Roc","Rochdale",NA
557,"Skem","Skemer",NA
558,"Spam","Spampounkoeki",NA
559,"Uls","Ulsan",NA
560,"Ncok","Ncoko",NA
561,"Nda","Ndanda",NA
562,"BGen18","Baby Geneva 2018",NA
563,"Mbil","Mbila",NA
564,"Puym","Puy-merl",NA
565,"Oerw","Oerwoud",NA
566,"Ram","Rambouillet",NA
567,"Sig","Sigaret",NA
568,"Dix","Dixon",NA
569,"Ghi","Ghidigidi",NA
570,"Mas","Mass",NA
571,"BEin18","Baby Eina 2018",NA
572,"BNur18","Baby Nurks 2018",NA
573,"Rid","Ridder",NA
574,"Yaz","Yazoo",NA
575,"Ard","Ardig",NA
576,"Regi","Regina",NA
577,"Prat","Pratella",NA
578,"Gil","Gilane",NA
579,"Non","Nonnitgie",NA
580,NA,"Dunston",NA
581,"Guba","Gubane",NA
582,"Aal","Aalwyn",NA
583,"Dal","Dalton",NA
584,"BLim18","Baby Lima 2018",NA
585,"Beir","Beirut",NA
586,"Yelo","Yelowstone",NA
587,"Reen","Reenboog",NA
588,"Gris","Griselles",NA
589,"Lar","Larry",NA
