"LH_RowNumber","AnimalCode","AnimalName","Sex"
281,"Lef","Lefty","M"
23,"Lek","Lekker","M"
197,"Len","Lennon","M"
551,"Lewe","Lewe","F"
152,"Lhas","Lhassa","F"
286,"Lia","Liam","M"
387,"Lif","Liffey","M"
634,"Lig","Light","M"
401,"Lill","Lilly","F"
330,"Lima","Lima","F"
364,"Lion","Lionel","F"
598,"Lip","Lipsy","M"
81,"Lizz","Lizz","F"
378,"Lohi","Lohihi","F"
666,"Loki","Loki","F"
774,"Lola","Lola","F"
123,"Lom","Lome","M"
857,"Lotu","Lotus","F"
461,"Loui","Louise","F"
477,"Lua","Luan","M"
775,"Luc","Lucifer","M"
670,"Lug","Lugano","M"
850,"Luna","Luna","F"
365,"Mac","Macedonia","M"
359,"Mack","Mackanzie","F"
294,"Mad","Madagascar","M"
846,"Made","Madeline","F"
713,"Mado","Madonna","F"
347,"Mal","Malawi","M"
75,"Mamo","Mamoobi","F"
809,"Man","Mandy","M"
452,"Manh","Manhattan","F"
248,"Mara","Mara","F"
515,"Mar","Margarita","M"
397,"Mart","Martinique","F"
570,"Mas","Mass","M"
307,"Mat","Mathimula","M"
263,"Mba","Mbazwane","M"
563,"Mbil","Mbila","F"
180,"Med","Medjerda","M"
798,"Medu","Medusa","F"
311,"Mee","Meerkat","M"
348,"Mer","Mercury","M"
109,"Mer","Merlin","M"
225,"Mevr","Mevrou","F"
50,"Mfo","Mfolozi","M"
468,"Mhao","Mhaori","F"
49,"Mic","Michael Jackson","M"
414,"Midd","Middag","F"
35,"Miel","Mielies","F"
11,"Mil","Milano","M"
552,"Mimi","Mimiek","F"
741,"Misk","Miskien","F"
271,"Mis","Mississipi","M"
168,"Mna","Mnandi","M"
125,"Modj","Modjadji","F"
657,"Moes","Moesa","F"
501,"Mokc","Mokcha","F"
691,"Mom","Momo","M"
756,"Mon","Montreal","M"
25,"Mooi","Mooi","F"
277,"Moon","Moonie","F"
110,"Mou","Mousse","M"
517,"Moya","Moya","F"
185,"Mpu","Mpukuvane","M"
662,"Mui","Muis","M"
214,"Mun","Mungunya","M"
7,"Mvu","Mvula","M"
553,"Naal","Naaldekoker","F"
671,"Naa","Naartjie","M"
836,"Naga","Nagapie","F"
