"AnimalID","Natal"
"Prinses","Yes"
"Propriano","Yes"
"Pruszkow","Yes"
"Puerto","Yes"
"Puntag","No"
"Puolka","Yes"
"Purper","Yes"
"Puymerl","Yes"
"Pyeongchang","Yes"
"Queen","Yes"
"Quito","Yes"
"Rabat","Yes"
"Radja","Yes"
"Rafaela","Yes"
"Rakker","Yes"
"Rambouillet","Yes"
"Raspberry","Yes"
"Ratel","Yes"
"Redelik","Yes"
"Redhot","No"
"Reenboog","Yes"
"Reenval","Yes"
"Regina","Yes"
"Reindeer","Yes"
"Renee","Yes"
"Rennes","Yes"
"Reno","Yes"
"Renoster","Yes"
"Reva","Yes"
"Revdanda","Yes"
"Reykjavik","Yes"
"Rheban","Yes"
"Richard","Yes"
"Ridder","Yes"
"Rimini","Yes"
"Rimpel","Yes"
"Rio","Yes"
"Rioja","Yes"
"Rissiepit","Yes"
"Rivas","Yes"
"Riversdale","Yes"
"Rivier","Yes"
"Riyadh","Yes"
"Robben","Yes"
"Robin","Yes"
"Rochdale","Yes"
"Rocky","Yes"
"Roeslare","Yes"
"Roma","Yes"
"Rooikat","Yes"
"Rosemary","Yes"
"Roslin","Yes"
"Roxanne","Yes"
"Ruby","Yes"
"Rupert","Yes"
"Rusk","No"
"Rustig","Yes"
"Ryan","No"
"Safari","Yes"
"Samoa","Yes"
"Sampion","Yes"
"Sari","Yes"
"Schnauzli","Yes"
"Selenge","No"
"Seychelles","Yes"
"Sf1","Yes"
"Sf2","Yes"
"Shakespeare","No"
"Shitface","Yes"
"Shongololo","No"
"Siele","Yes"
"Sigaret","Yes"
"Sion","No"
"Sirkus","Yes"
"Sitrus","Yes"
"Skemer","Yes"
"Skhumbuzo","No"
"Skin","Yes"
"Skollie","No"
"Slang","Yes"
"Sma","Yes"
"Smalleyes","No"
"Smashy","Yes"
"Snorretjie","Yes"
"Solomon","No"
"Spampounkoeki","Yes"
"Spanspek","Yes"
"Spek","Yes"
"Spook","Yes"
"Spotted","Yes"
"Styx","Yes"
"Sumbawa","Yes"
"Suzy","Yes"
"Sylinder","Yes"
"Symetric","Yes"
"Talinn","Yes"
"Tambacounda","No"
"Tanganika","Yes"
"Tannie","Yes"
"Tasmania","Yes"
"Tastyflavours","No"
"Tchakalaka","No"
"Teddibeer","Yes"
"Tere","Yes"
"Tevere","No"
"Thames","No"
"Themask","Yes"
"Theodore","No"
"Tiki","Yes"
"Timber","Yes"
"Tipies","Yes"
"Tirroan","Yes"
"Tonga","Yes"
"Toronto","Yes"
"Tortuga","Yes"
"Toulouse","Yes"
"Troia","Yes"
"Tugela","Yes"
"Tunis","Yes"
"Tweed","Yes"
"Tyler","No"
"Ububhibhi","Yes"
"Udupi","Yes"
"Uji","Yes"
"Ulaanbaatar","Yes"
"Ulaka","Yes"
"Ulsan","Yes"
"Ulundi","Yes"
"Umbrella","Yes"
"Umnak","Yes"
"Umtata","Yes"
"Umzali","No"
"Unwabo","Yes"
"Uppsala","Yes"
"Upsidedown","Yes"
"Uraniumcity","Yes"
"Utica","Yes"
"Utrecht","No"
"Uvac","No"
"Vakie","Yes"
"Valerie","Yes"
"Vance","Yes"
"Vancouver","No"
"Vascorossi","No"
"Venezia","Yes"
"Victoria","Yes"
"Vincent","Yes"
"Vladivostok","No"
"Voldemort","No"
"Vroutjie","Yes"
"Vryheid","No"
"Vulkaan","Yes"
"Warnemünde","No"
"Washingtonbabylon","No"
"Watnou","Yes"
"Wavyears","Yes"
"Wesley","No"
"Whidbey","Yes"
"Whiskers","Yes"
"Wierdo","Yes"
"Wietnie","Yes"
"William","No"
"Wolfie","Yes"
"Wurm","Yes"
"Xai","Yes"
"Xaixai","Yes"
"Xalapa","Yes"
"Xaltepec","Yes"
"Xarès","Yes"
"Xenia","Yes"
"Xeres","Yes"
"Xian","Yes"
"Xiashan","Yes"
"Xihau","Yes"
"Xinji","Yes"
"Xinpu","Yes"
"Xinyi","Yes"
"Xiushan","No"
"Xopo","Yes"
"Xoxocotla","Yes"
"Yalu","Yes"
"Yamp","Yes"
"Yamuna","Yes"
"Yangtze","Yes"
"Yaounde","Yes"
"Yara","Yes"
"Yazoo","Yes"
"Yell","No"
"Yellowstone","Yes"
"Yenissei","Yes"
"Yodo","Yes"
"Yonne","Yes"
"Yoogali","Yes"
"Yster","No"
"Yub","Yes"
"Yukon","Yes"
"Yzeron","Yes"
"Zaire","Yes"
"Zambezi","Yes"
"Zankara","Yes"
"Zanzibar","Yes"
"Zara","Yes"
"Zave","No"
"Zeerust","Yes"
"Zeia","Yes"
"Zeus","No"
"Zhengzhou","Yes"
"Zhukovsky","Yes"
"Zinkwazi","Yes"
"Zion","Yes"
"Zuni","Yes"
"Zurich","Yes"
