"AnimalID","From","To","Group","Source","NatalGroup","GroupNB"
"Bari",2016-04-13,2016-04-13,"Iceland","Immigrants1_NoImmiDate_Natal","No",2
"Barry",2021-07-28,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Base",2015-02-25,2017-04-29,"CR","Natal_NoDOB_Emi","Yes",1
"Base",2017-05-05,2021-02-19,"BD","Immigrants1_ImmiDate","No",2
"Beirut",2018-12-03,2022-11-17,"NH","Natal_DOB_NonMigrant_Alive","Yes",1
"Belabela",2014-11-29,2022-11-17,"NH","Natal_DOB_NonMigrant_Alive","Yes",1
"Beminde",2010-11-23,2014-01-05,"BD","Natal_NoDOB_Emi","Yes",1
"Beminde",2014-01-05,2016-06-15,"Intaka","Immigrants1_NoImmiDate_Natal","No",2
"Benedict",2018-06-08,2020-07-18,"LT","Immigrants1_ImmiDate","No",1
"Bermuda",2016-02-29,2017-02-12,"CR","Natal_NoDOB_Emi","Yes",1
"Bermuda",2017-02-12,2017-04-10,"SplitCR","Immigrants1_ImmiDate","No",2
"Bethlehem",2021-11-08,2022-11-17,"NH","Natal_DOB_NonMigrant_Alive","Yes",1
"Bigears",2021-06-06,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Bingo",2011-04-25,2015-01-15,"BD","Natal_NoDOB_Disappeared","Yes",1
"Blacktits",2010-12-13,2010-12-13,"RC","Natal_NoDOB_Disappeared","Yes",1
"Blupblup",2018-04-18,2018-07-20,"CR","Natal_NoDOB_Disappeared","Yes",1
"Bocold",2014-12-31,2017-01-21,"CR","Immigrants1_ImmiDate","No",1
"Bocold",2017-01-31,2019-05-04,"BD","Immigrants2_ImmiDate_ToAdd","No",2
"Bocold",2019-05-15,2019-10-30,"AK","Immigrants3_ImmiDate","No",3
"Bogota",2011-03-05,2016-04-13,"NH","Natal_NoDOB_Emi","Yes",1
"Bogota",2016-04-13,2016-07-12,"Iceland","Immigrants1_NoImmiDate_Natal","No",2
"Boks",2010-11-09,2010-12-24,"BD","Immigrants1_ImmiDate","No",1
"Bongani",2012-01-28,2013-04-25,"AK","Immigrants1_NoImmiDate_NonNatal","No",1
"Boston",2013-10-28,2018-05-23,"NH","Natal_DOB_Disappeared","Yes",1
"Bougainville",2021-03-24,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Brasilia",2011-12-16,2016-04-13,"NH","Natal_NoDOB_Emi","Yes",1
"Brasilia",2016-04-13,2016-07-12,"Iceland","Immigrants1_NoImmiDate_Natal","No",2
"Brisbane",2015-11-10,2016-04-13,"NH","Natal_DOB_Emi","Yes",1
"Brisbane",2016-04-13,2016-04-13,"Iceland","Immigrants1_NoImmiDate_Natal","No",2
"Brucespringsteen",2011-09-29,2011-09-29,"RC","Immigrants1_NoImmiDate_NonNatal","No",1
"Bryan",2011-01-16,2012-05-01,"LT","Immigrants1_ImmiDate","No",1
"Bukubuku",2021-05-11,2022-11-17,"AK","Immigrants1_ImmiDate","No",1
"Bullebak",2012-10-01,2017-12-07,"BD","Natal_DOB_Disappeared","Yes",1
"Bushy",2012-11-15,2015-03-02,"LT","Natal_NoDOB_Emi","Yes",1
"Bushy",2015-03-02,2015-07-01,"FirstLTsplinter","Immigrants1_NoImmiDate_Natal","No",2
"Byron",2011-11-21,2013-10-22,"LT","Natal_NoDOB_Disappeared","Yes",1
